Tanggal,Lokasi,Jenis_Sampah,Volume_Sampah_kg
01/12/2024,Lokasi_7,B3,514.62
19/09/2025,Lokasi_7,B3,1124.78
22/12/2025,Lokasi_20,Organik,616.91
19/07/2020,Lokasi_7,B3,1270.41
06/02/2025,Lokasi_8,Anorganik,1365.97
18/02/2022,Lokasi_16,B3,1444.74
17/05/2021,Lokasi_3,Anorganik,1164.48
17/10/2024,Lokasi_13,Organik,982.01
15/03/2022,Lokasi_10,Anorganik,852.28
16/11/2025,Lokasi_18,B3,990.93
10/03/2025,Lokasi_7,Organik,690.35
19/04/2024,Lokasi_5,Organik,848.42
18/08/2022,Lokasi_7,B3,1217.93
25/01/2024,Lokasi_17,Organik,717.42
25/10/2022,Lokasi_4,Organik,764.07
17/05/2021,Lokasi_16,Anorganik,1249.33
01/02/2021,Lokasi_19,Organik,677.84
20/05/2022,Lokasi_10,B3,745.89
27/01/2021,Lokasi_3,B3,517.55
25/07/2020,Lokasi_3,Anorganik,1220.05
04/11/2022,Lokasi_17,Anorganik,1117.9
24/02/2025,Lokasi_10,Anorganik,1194.39
24/01/2024,Lokasi_17,Anorganik,714.33
13/05/2022,Lokasi_17,Anorganik,1187.38
17/07/2021,Lokasi_4,Organik,1096.38
17/10/2022,Lokasi_6,Organik,866.12
05/04/2020,Lokasi_12,B3,937.83
07/04/2025,Lokasi_20,Anorganik,1067.92
23/10/2024,Lokasi_17,Anorganik,993.29
05/08/2024,Lokasi_17,Anorganik,1141.83
24/06/2021,Lokasi_10,Anorganik,680.98
25/11/2022,Lokasi_7,Organik,1040.71
29/03/2023,Lokasi_16,Anorganik,950.28
18/09/2024,Lokasi_13,B3,961.02
24/12/2024,Lokasi_3,Organik,969.38
16/05/2024,Lokasi_2,Organik,1381.47
06/03/2022,Lokasi_16,Organik,1318.63
17/11/2022,Lokasi_6,Organik,1129.57
01/07/2024,Lokasi_6,Organik,1216.49
25/09/2023,Lokasi_13,Organik,542.8
04/06/2025,Lokasi_7,Organik,1243.99
16/09/2023,Lokasi_5,Organik,986.16
21/07/2024,Lokasi_7,Anorganik,817.75
09/03/2024,Lokasi_2,Anorganik,639.78
31/07/2025,Lokasi_17,Organik,575.21
05/02/2024,Lokasi_13,Anorganik,544.89
09/11/2023,Lokasi_16,Organik,661.8
01/11/2023,Lokasi_20,Organik,530.14
30/07/2023,Lokasi_2,Anorganik,1232.64
30/08/2022,Lokasi_5,Organik,748.61
03/11/2024,Lokasi_18,Organik,868.74
06/07/2023,Lokasi_7,Organik,1322.72
10/12/2021,Lokasi_11,Organik,614.66
19/01/2024,Lokasi_11,Organik,1335.59
05/12/2023,Lokasi_17,Organik,1139.54
10/10/2021,Lokasi_16,Organik,842.03
13/11/2020,Lokasi_13,Anorganik,617.81
11/06/2023,Lokasi_5,Anorganik,591.49
14/11/2021,Lokasi_20,Organik,835.51
25/10/2021,Lokasi_16,Anorganik,640.34
21/06/2025,Lokasi_16,Anorganik,767.71
19/06/2024,Lokasi_16,B3,552.96
04/02/2024,Lokasi_14,Organik,1095.01
10/02/2023,Lokasi_6,Organik,645.28
27/01/2025,Lokasi_2,Organik,1256.73
29/02/2024,Lokasi_14,Organik,718.17
17/07/2021,Lokasi_16,Anorganik,1297.98
15/07/2023,Lokasi_20,B3,689.88
24/06/2024,Lokasi_13,Anorganik,1221.37
29/11/2021,Lokasi_15,Organik,833.07
30/11/2025,Lokasi_12,Anorganik,1083.12
02/01/2020,Lokasi_9,Anorganik,538.66
03/10/2021,Lokasi_18,Anorganik,995.24
08/05/2024,Lokasi_14,Organik,648.69
04/05/2022,Lokasi_20,Organik,986.32
25/10/2024,Lokasi_4,Organik,641.36
19/07/2024,Lokasi_8,Organik,937.09
27/02/2023,Lokasi_8,B3,610.62
12/12/2022,Lokasi_16,Organik,719.95
03/09/2024,Lokasi_10,Organik,1095.08
22/08/2024,Lokasi_17,Organik,1476.66
29/09/2024,Lokasi_1,Organik,949.18
10/12/2023,Lokasi_18,Organik,1187.17
15/04/2022,Lokasi_10,Anorganik,1039.42
21/07/2020,Lokasi_4,Anorganik,998.36
02/05/2020,Lokasi_1,Anorganik,564.7
04/02/2021,Lokasi_4,Anorganik,644.3
05/02/2022,Lokasi_4,Organik,1383.06
20/10/2020,Lokasi_4,Organik,910.16
16/07/2020,Lokasi_17,B3,1114.33
14/04/2025,Lokasi_9,Organik,1028.23
31/12/2025,Lokasi_19,Organik,878.88
31/08/2021,Lokasi_13,Anorganik,887.82
21/02/2023,Lokasi_4,Organik,1055.47
05/07/2020,Lokasi_5,Organik,641.14
29/11/2024,Lokasi_13,Organik,887.26
21/10/2021,Lokasi_16,Organik,946.98
09/05/2025,Lokasi_5,Organik,1485.13
01/10/2023,Lokasi_8,Anorganik,851.45
09/06/2025,Lokasi_16,Organik,1144.58
14/03/2024,Lokasi_1,Organik,637.42
26/05/2020,Lokasi_6,Organik,565.48
30/09/2024,Lokasi_11,Anorganik,1371.54
17/01/2025,Lokasi_16,Anorganik,1230.73
03/05/2021,Lokasi_5,Organik,817.5
13/05/2025,Lokasi_16,Organik,1004.58
21/07/2024,Lokasi_7,Anorganik,635.74
02/10/2021,Lokasi_19,Organik,1207.16
07/12/2024,Lokasi_1,Anorganik,570.33
23/05/2025,Lokasi_9,Anorganik,1257.03
09/12/2023,Lokasi_18,Organik,1046.84
22/06/2024,Lokasi_13,Organik,778.85
19/09/2020,Lokasi_15,Organik,1362.57
22/11/2024,Lokasi_3,Anorganik,1486.07
31/12/2025,Lokasi_10,Anorganik,754.35
15/09/2021,Lokasi_9,Anorganik,1306.25
13/10/2022,Lokasi_13,Anorganik,1250.17
30/05/2022,Lokasi_16,Organik,1247.19
11/08/2025,Lokasi_3,Anorganik,1457.24
20/08/2023,Lokasi_15,B3,986.62
28/03/2021,Lokasi_17,Organik,1174.17
29/03/2023,Lokasi_14,Organik,1323.88
18/08/2025,Lokasi_7,B3,979.54
09/08/2024,Lokasi_20,Anorganik,981.43
28/02/2023,Lokasi_16,Anorganik,818.65
07/02/2021,Lokasi_8,Organik,1280.83
02/10/2025,Lokasi_4,Anorganik,1186.2
23/08/2024,Lokasi_20,B3,951.14
19/09/2021,Lokasi_15,B3,919.34
09/08/2021,Lokasi_5,B3,572.59
06/07/2024,Lokasi_13,B3,506.5
14/12/2023,Lokasi_6,Organik,1028.89
16/12/2023,Lokasi_5,Organik,917.49
13/04/2020,Lokasi_17,Anorganik,1296.04
10/09/2020,Lokasi_7,Organik,1042.65
05/02/2024,Lokasi_6,Anorganik,1436.71
08/04/2020,Lokasi_2,Organik,696.14
27/02/2025,Lokasi_11,B3,1490.15
03/04/2025,Lokasi_7,Anorganik,797.92
27/05/2022,Lokasi_8,Anorganik,1142.42
03/12/2020,Lokasi_5,Organik,1001.85
14/08/2022,Lokasi_18,Organik,859.58
31/08/2024,Lokasi_16,Organik,639.31
09/06/2020,Lokasi_14,Organik,634.83
22/05/2024,Lokasi_12,Organik,1211.51
01/02/2021,Lokasi_17,Anorganik,877.64
24/07/2023,Lokasi_5,Organik,1461.3
26/03/2022,Lokasi_14,Organik,825.65
07/03/2024,Lokasi_6,Anorganik,1483.52
03/04/2025,Lokasi_15,Organik,705.42
16/11/2023,Lokasi_7,Organik,602.81
04/03/2023,Lokasi_14,B3,812.57
03/05/2023,Lokasi_18,Organik,1385.58
04/02/2021,Lokasi_1,B3,1021.85
01/10/2021,Lokasi_6,Anorganik,635.65
04/04/2021,Lokasi_3,B3,702.5
12/08/2022,Lokasi_5,Anorganik,811.26
14/04/2021,Lokasi_12,Organik,1090.17
11/11/2022,Lokasi_11,Anorganik,832.38
20/08/2024,Lokasi_13,Organik,1247.05
16/09/2025,Lokasi_16,Anorganik,1116.29
16/07/2021,Lokasi_18,Anorganik,1373.82
04/12/2024,Lokasi_17,Organik,1000.96
05/09/2025,Lokasi_17,Anorganik,831.18
13/08/2020,Lokasi_11,Anorganik,1496.27
08/03/2022,Lokasi_20,Organik,855.63
17/08/2022,Lokasi_10,Anorganik,928.6
13/02/2024,Lokasi_16,Anorganik,1309.13
28/03/2021,Lokasi_2,Anorganik,588.64
26/03/2022,Lokasi_17,Anorganik,886.49
20/10/2021,Lokasi_20,Organik,585.71
30/06/2021,Lokasi_10,Organik,639.31
30/04/2023,Lokasi_13,Organik,504.64
17/01/2020,Lokasi_12,Anorganik,509.54
28/05/2023,Lokasi_15,Organik,880.29
05/12/2022,Lokasi_7,Organik,1309.16
16/11/2025,Lokasi_13,Anorganik,1087
03/11/2024,Lokasi_12,Anorganik,1134.91
26/11/2022,Lokasi_12,Anorganik,1019.25
28/10/2020,Lokasi_2,Anorganik,1319.79
29/06/2020,Lokasi_5,Anorganik,1380.38
29/08/2021,Lokasi_2,Anorganik,1349.74
30/11/2021,Lokasi_20,Organik,1312.13
19/09/2022,Lokasi_13,Organik,682.71
13/02/2023,Lokasi_3,B3,1093.88
09/07/2020,Lokasi_11,Organik,1082.16
07/09/2022,Lokasi_16,Organik,1027.94
29/06/2025,Lokasi_1,Anorganik,980.81
30/03/2023,Lokasi_19,Anorganik,589.17
07/05/2020,Lokasi_11,Organik,602.16
27/08/2025,Lokasi_9,Organik,1402.28
21/12/2024,Lokasi_14,Organik,1130.19
24/10/2024,Lokasi_9,Organik,762.32
23/07/2021,Lokasi_7,Anorganik,779.3
08/09/2023,Lokasi_16,Anorganik,1110.19
10/03/2025,Lokasi_3,Organik,906.93
17/09/2021,Lokasi_19,Organik,941.32
13/08/2024,Lokasi_4,Anorganik,560.65
03/06/2020,Lokasi_7,Organik,638.74
10/11/2023,Lokasi_12,Anorganik,893.35
23/02/2022,Lokasi_18,Organik,1199.69
02/09/2020,Lokasi_5,Anorganik,548.03
09/02/2024,Lokasi_10,Organik,834.56
01/09/2024,Lokasi_12,Organik,1195.07
21/06/2021,Lokasi_8,B3,1292.05
05/03/2025,Lokasi_19,B3,690.22
15/01/2025,Lokasi_15,Organik,1231.49
09/07/2022,Lokasi_1,Organik,1455.41
08/06/2021,Lokasi_3,Organik,1406.81
09/03/2024,Lokasi_18,Anorganik,1289.38
05/02/2020,Lokasi_18,Anorganik,1212.33
15/11/2021,Lokasi_2,Anorganik,735.14
20/01/2020,Lokasi_5,Organik,1133.9
03/02/2021,Lokasi_1,Organik,1143.27
29/08/2022,Lokasi_10,Anorganik,906.82
21/03/2025,Lokasi_20,Organik,993.02
12/03/2023,Lokasi_10,Organik,1194.03
20/01/2023,Lokasi_5,Organik,1452.1
13/04/2022,Lokasi_18,Organik,795.31
28/12/2024,Lokasi_15,Anorganik,746.36
05/06/2025,Lokasi_20,Anorganik,1101.81
03/05/2022,Lokasi_8,Organik,630.8
20/02/2020,Lokasi_17,Anorganik,1082.53
28/07/2021,Lokasi_12,Organik,588.85
22/02/2023,Lokasi_12,Organik,990.58
11/09/2024,Lokasi_1,B3,1120.41
12/11/2021,Lokasi_4,Organik,570.11
17/04/2022,Lokasi_8,Organik,706.95
13/12/2022,Lokasi_1,Anorganik,835.37
14/05/2024,Lokasi_15,B3,868.6
05/01/2020,Lokasi_18,Organik,1176.1
31/01/2023,Lokasi_1,Anorganik,1029.02
04/05/2023,Lokasi_11,Organik,882.11
12/02/2022,Lokasi_2,Anorganik,950.68
26/05/2022,Lokasi_1,Anorganik,512.98
18/09/2022,Lokasi_12,Organik,1270.53
16/02/2020,Lokasi_16,Organik,541
25/09/2020,Lokasi_10,Organik,1329.32
04/01/2021,Lokasi_18,Organik,1041
27/09/2021,Lokasi_15,Organik,1027.82
03/02/2023,Lokasi_17,Organik,1204.58
20/08/2024,Lokasi_10,Anorganik,1359.56
09/08/2024,Lokasi_3,Anorganik,1442.65
18/10/2021,Lokasi_16,Anorganik,1043.37
29/04/2020,Lokasi_6,Anorganik,650.66
10/04/2022,Lokasi_3,B3,1378.63
15/12/2024,Lokasi_9,Organik,540.67
17/12/2022,Lokasi_11,Anorganik,1307.34
28/05/2025,Lokasi_13,Organik,1180.42
01/10/2023,Lokasi_18,B3,1404.73
10/01/2022,Lokasi_4,Anorganik,1397.46
26/04/2020,Lokasi_8,Organik,553.15
27/01/2025,Lokasi_13,Anorganik,1109.45
24/02/2023,Lokasi_10,Organik,624.67
15/04/2025,Lokasi_2,B3,578.47
09/10/2022,Lokasi_8,Organik,948.28
22/07/2024,Lokasi_6,Organik,597.6
17/12/2022,Lokasi_16,Organik,1227.9
25/09/2021,Lokasi_18,Organik,1468.94
27/05/2021,Lokasi_17,Anorganik,1069.58
24/01/2023,Lokasi_6,Anorganik,735.17
15/02/2023,Lokasi_13,B3,1343.21
13/07/2021,Lokasi_14,Anorganik,1353.1
02/05/2021,Lokasi_10,Anorganik,1232.79
15/06/2022,Lokasi_11,Organik,1115.13
27/04/2023,Lokasi_13,B3,1367.79
04/12/2021,Lokasi_12,Organik,663.29
10/01/2024,Lokasi_9,Organik,1431.6
03/08/2021,Lokasi_4,Organik,1447.2
02/06/2020,Lokasi_7,Organik,1371.99
06/08/2024,Lokasi_2,Organik,750.66
23/09/2022,Lokasi_7,B3,1358.18
28/05/2023,Lokasi_9,Organik,997.64
28/12/2022,Lokasi_5,Organik,1094.93
05/10/2022,Lokasi_15,Organik,1340.6
11/11/2025,Lokasi_18,Organik,529.58
08/11/2024,Lokasi_4,Anorganik,862.94
15/08/2022,Lokasi_19,Anorganik,1315.69
28/03/2021,Lokasi_20,B3,1313.95
12/05/2023,Lokasi_7,Organik,1348.69
04/07/2021,Lokasi_8,Organik,669.22
23/06/2024,Lokasi_17,Anorganik,1205.89
05/08/2023,Lokasi_13,Organik,646.5
23/10/2024,Lokasi_11,Organik,1285.1
22/12/2020,Lokasi_1,Organik,745.13
01/09/2025,Lokasi_2,Anorganik,1237.82
20/11/2024,Lokasi_17,Anorganik,955
16/11/2024,Lokasi_5,B3,1486.26
19/06/2024,Lokasi_6,Organik,1079.89
12/10/2022,Lokasi_7,Organik,1132.58
10/09/2023,Lokasi_15,Organik,868.16
30/05/2021,Lokasi_19,Organik,1234.52
01/12/2020,Lokasi_16,Organik,994.89
17/11/2024,Lokasi_13,Organik,518.07
11/05/2021,Lokasi_5,Organik,1108.58
14/06/2022,Lokasi_3,Anorganik,1330.46
01/05/2022,Lokasi_3,Organik,736.8
14/08/2024,Lokasi_19,Organik,721.06
15/04/2025,Lokasi_14,Anorganik,1108.89
17/04/2024,Lokasi_16,Organik,1317.98
14/08/2022,Lokasi_17,Organik,749.62
24/06/2024,Lokasi_4,Organik,1432.26
15/07/2023,Lokasi_13,Organik,1427.39
11/12/2023,Lokasi_8,Anorganik,700.54
06/04/2023,Lokasi_19,Organik,763.78
02/12/2022,Lokasi_5,Anorganik,1200.6
11/10/2020,Lokasi_2,B3,1451.73
12/01/2020,Lokasi_15,Anorganik,1209.88
18/06/2024,Lokasi_2,Organik,944.9
23/01/2022,Lokasi_11,Organik,669
13/09/2025,Lokasi_13,Anorganik,961.01
30/03/2020,Lokasi_10,Organik,1106.77
14/02/2022,Lokasi_3,B3,830.95
13/06/2024,Lokasi_5,Anorganik,1010.26
21/02/2021,Lokasi_3,Anorganik,630.21
24/04/2020,Lokasi_6,Organik,952.19
08/09/2021,Lokasi_13,Anorganik,590.78
05/04/2022,Lokasi_10,B3,549.09
07/07/2024,Lokasi_19,Anorganik,1357.24
25/02/2024,Lokasi_8,Organik,705.08
16/02/2021,Lokasi_18,Anorganik,1075.16
29/12/2021,Lokasi_3,Anorganik,648.98
06/11/2021,Lokasi_17,Anorganik,762.53
07/03/2025,Lokasi_8,Organik,861.34
27/01/2023,Lokasi_10,Organik,643.68
20/04/2024,Lokasi_2,Anorganik,545.96
04/09/2022,Lokasi_12,Organik,1377.16
05/10/2022,Lokasi_6,Organik,511.83
13/11/2025,Lokasi_2,Anorganik,561.32
14/08/2024,Lokasi_3,Anorganik,1305.07
06/02/2020,Lokasi_17,Anorganik,782.01
28/03/2024,Lokasi_7,Anorganik,1222.82
22/05/2022,Lokasi_5,Organik,646.23
26/12/2024,Lokasi_1,Organik,737.28
20/07/2023,Lokasi_8,B3,1072.78
10/10/2025,Lokasi_12,Organik,1488.64
18/08/2021,Lokasi_14,Anorganik,573.44
18/03/2025,Lokasi_16,Anorganik,900.55
29/12/2021,Lokasi_10,B3,543.08
27/09/2023,Lokasi_15,Organik,699.23
31/01/2021,Lokasi_15,Anorganik,1407.47
29/11/2021,Lokasi_10,Anorganik,596.46
23/06/2024,Lokasi_7,Organik,1356.86
30/01/2021,Lokasi_3,Organik,677.8
16/03/2020,Lokasi_2,Organik,1361.78
21/09/2020,Lokasi_6,Anorganik,1038.02
24/12/2024,Lokasi_9,Anorganik,1378.21
18/12/2021,Lokasi_10,Organik,651.7
30/04/2022,Lokasi_4,Anorganik,1262.04
22/10/2023,Lokasi_3,Organik,1180.7
23/05/2020,Lokasi_9,Organik,1042.93
03/06/2022,Lokasi_17,Anorganik,1310.59
30/01/2021,Lokasi_14,Organik,1148.28
01/02/2024,Lokasi_10,Anorganik,1377.05
13/03/2023,Lokasi_13,Organik,881.06
28/11/2022,Lokasi_12,Organik,1089.92
26/11/2025,Lokasi_1,Anorganik,1370.6
01/12/2022,Lokasi_19,Organik,714.81
24/04/2023,Lokasi_19,Anorganik,985.74
25/09/2021,Lokasi_6,Anorganik,1460.74
02/03/2023,Lokasi_13,Anorganik,973.6
23/05/2023,Lokasi_19,Anorganik,752.83
02/01/2022,Lokasi_13,Organik,851.08
22/08/2020,Lokasi_4,Anorganik,1385.08
20/01/2022,Lokasi_2,Organik,1454.88
11/08/2022,Lokasi_15,B3,1450.11
22/03/2024,Lokasi_12,Anorganik,1198.94
12/04/2023,Lokasi_7,Anorganik,1009.6
03/08/2024,Lokasi_20,Anorganik,682.69
06/04/2023,Lokasi_18,Anorganik,623.22
17/11/2023,Lokasi_13,Anorganik,559.77
02/05/2023,Lokasi_17,Organik,517.71
20/03/2024,Lokasi_4,Anorganik,1378.12
07/09/2025,Lokasi_14,Organik,1309.09
16/12/2023,Lokasi_20,Anorganik,1067.82
28/02/2024,Lokasi_13,Anorganik,1498.72
20/10/2023,Lokasi_3,Anorganik,1453.05
30/01/2025,Lokasi_18,Anorganik,1155.11
27/09/2023,Lokasi_14,Anorganik,964.57
14/05/2021,Lokasi_15,Organik,652.17
07/08/2024,Lokasi_3,Organik,1015.59
25/05/2021,Lokasi_1,Anorganik,657.74
04/08/2020,Lokasi_17,Organik,898.45
17/08/2023,Lokasi_3,Anorganik,1442.65
01/03/2023,Lokasi_14,Anorganik,841.98
01/01/2025,Lokasi_3,Organik,652.79
15/12/2024,Lokasi_13,B3,1082.4
20/04/2023,Lokasi_15,Organik,1102.36
31/03/2020,Lokasi_18,Anorganik,693.8
14/12/2021,Lokasi_14,B3,696.59
24/02/2025,Lokasi_3,Organik,1489.55
08/02/2020,Lokasi_19,Organik,743.28
21/06/2020,Lokasi_8,B3,1338.19
14/10/2021,Lokasi_4,Organik,970.32
23/01/2022,Lokasi_4,Organik,934.99
28/05/2023,Lokasi_19,Organik,794.96
17/12/2022,Lokasi_11,Anorganik,1273.83
10/08/2024,Lokasi_1,Organik,1380.66
31/03/2021,Lokasi_8,Anorganik,761.13
08/04/2022,Lokasi_15,B3,595.1
13/06/2022,Lokasi_1,Organik,636.92
16/10/2023,Lokasi_7,Organik,1292.8
12/05/2025,Lokasi_20,Organik,935.83
19/06/2025,Lokasi_20,Organik,631.91
08/07/2020,Lokasi_11,Anorganik,840.29
19/05/2021,Lokasi_14,Organik,1014.24
29/04/2023,Lokasi_16,Organik,1352.05
11/03/2024,Lokasi_14,Anorganik,1141.74
03/04/2022,Lokasi_12,Anorganik,676.03
17/07/2022,Lokasi_17,Organik,658.7
22/07/2022,Lokasi_14,Anorganik,912.33
14/02/2023,Lokasi_10,Anorganik,575.19
13/05/2020,Lokasi_14,Anorganik,1255.58
06/10/2025,Lokasi_18,Anorganik,901.45
15/11/2021,Lokasi_9,Organik,843.02
26/01/2025,Lokasi_17,B3,1009.11
25/03/2022,Lokasi_6,Organik,1208.96
18/03/2023,Lokasi_8,Anorganik,1069.35
20/03/2020,Lokasi_13,Organik,1302.4
21/07/2020,Lokasi_18,Organik,1129.36
06/06/2023,Lokasi_5,Organik,1287.97
26/08/2024,Lokasi_6,Organik,1196.78
04/06/2023,Lokasi_19,Anorganik,693.12
09/08/2024,Lokasi_4,Organik,552.35
04/04/2024,Lokasi_7,Organik,1403.4
25/09/2025,Lokasi_4,Organik,1445.66
10/06/2023,Lokasi_11,Organik,1226.93
29/03/2024,Lokasi_12,Anorganik,1224.21
12/03/2023,Lokasi_14,Organik,770.15
28/10/2023,Lokasi_13,Organik,1042.44
15/04/2021,Lokasi_10,Anorganik,1492.24
01/11/2022,Lokasi_18,Organik,1356.14
15/09/2023,Lokasi_16,Anorganik,804.39
25/08/2022,Lokasi_5,Anorganik,801.05
23/12/2020,Lokasi_8,Anorganik,983.58
29/10/2021,Lokasi_14,Anorganik,904.6
07/01/2021,Lokasi_5,Anorganik,871.15
28/10/2022,Lokasi_8,Organik,1126.97
19/02/2023,Lokasi_6,Anorganik,511.49
03/10/2023,Lokasi_16,Organik,1263.34
30/03/2020,Lokasi_4,Organik,1240.05
23/06/2021,Lokasi_12,Anorganik,1330.33
18/05/2022,Lokasi_11,B3,1341.45
10/02/2020,Lokasi_3,Organik,1066.4
09/01/2022,Lokasi_12,Organik,1280.07
30/04/2025,Lokasi_5,Organik,992.4
09/05/2023,Lokasi_6,Organik,1451.53
17/07/2022,Lokasi_19,B3,690.7
29/07/2025,Lokasi_18,Anorganik,1415.62
13/07/2022,Lokasi_16,Organik,758.53
30/04/2024,Lokasi_11,Organik,602.72
24/01/2021,Lokasi_5,B3,939.1
05/06/2024,Lokasi_9,Anorganik,1114.92
12/09/2020,Lokasi_3,Organik,730.99
09/12/2021,Lokasi_8,Anorganik,1055.8
12/01/2025,Lokasi_6,B3,1307.89
28/04/2025,Lokasi_4,Organik,757.08
10/01/2020,Lokasi_12,Organik,1080.32
08/03/2022,Lokasi_12,Organik,839.31
26/05/2022,Lokasi_16,Organik,1029.77
25/10/2022,Lokasi_10,Organik,1166.92
12/10/2022,Lokasi_14,Organik,850.42
29/12/2024,Lokasi_13,Organik,1494.48
08/01/2021,Lokasi_9,Organik,1063.78
11/08/2020,Lokasi_7,Anorganik,1324.46
16/06/2023,Lokasi_12,Anorganik,1225.14
07/12/2024,Lokasi_5,B3,1352.81
02/05/2022,Lokasi_18,Anorganik,673.8
03/03/2020,Lokasi_4,Organik,722.55
25/05/2023,Lokasi_2,Anorganik,987.41
19/11/2021,Lokasi_3,Organik,1352.33
24/01/2024,Lokasi_12,Anorganik,697.61
21/06/2024,Lokasi_3,Organik,1471.07
22/11/2025,Lokasi_4,Anorganik,627.6
25/05/2021,Lokasi_6,Organik,675.08
19/01/2021,Lokasi_12,Organik,667.23
08/02/2021,Lokasi_19,Organik,1086.01
01/06/2021,Lokasi_10,Organik,1417.54
20/04/2021,Lokasi_1,B3,755.11
23/06/2025,Lokasi_17,Organik,1053.04
26/07/2024,Lokasi_16,Anorganik,675.77
08/03/2025,Lokasi_9,Anorganik,1131.14
31/12/2023,Lokasi_9,Anorganik,623.25
14/12/2021,Lokasi_9,Anorganik,991.31
23/03/2020,Lokasi_12,Organik,1155.18
14/03/2023,Lokasi_9,B3,1079.13
16/03/2025,Lokasi_15,Organik,640
10/08/2025,Lokasi_2,Organik,661.37
20/02/2020,Lokasi_11,Anorganik,1171.39
15/11/2021,Lokasi_11,Anorganik,1308.91
17/12/2021,Lokasi_8,Organik,1408.07
09/01/2024,Lokasi_6,Anorganik,1313.61
24/03/2021,Lokasi_20,Organik,1473.92
30/05/2022,Lokasi_7,Anorganik,908.25
02/05/2021,Lokasi_3,Organik,831.17
28/12/2024,Lokasi_8,Organik,528.18
12/09/2025,Lokasi_18,Organik,949.9
12/11/2025,Lokasi_17,Organik,1151.37
